,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13
121,-0.195,-0.069,-0.073,-0.01,0.024,-0.17,-0.159,0.165,0.195,-0.09,-0.134,-0.208,0.231
122,-0.179,-0.145,0.045,-0.256,-0.179,-0.17,-0.172,0.204,0.118,-0.136,-0.113,-0.133,0.138
123,-0.164,0.099,0.03,-0.056,-0.301,-0.164,-0.078,0.232,0.156,-0.198,0.066,-0.038,0.13
124,-0.165,-0.052,-0.106,0.018,0.048,-0.138,-0.154,0.111,0.084,-0.189,0.095,0.088,0.179
125,-0.214,-0.075,-0.074,-0.182,-0.314,-0.183,-0.104,-0.072,0.137,-0.171,0.122,0.168,0.12
126,-0.305,0.069,0.016,-0.148,-0.144,-0.168,-0.178,-0.171,0.078,-0.094,0.155,0.17,0.074
127,-0.112,0.042,-0.085,0.016,0.101,-0.16,-0.141,-0.187,0.192,-0.111,0.163,0.208,-0.812
128,-0.262,-0.101,-0.061,-0.186,-0.35,-0.163,-0.148,-0.224,0.102,-0.101,0.201,0.209,-0.911
129,-0.239,0.013,0.041,-0.179,-0.059,0.04,-0.079,-0.255,0.191,-0.131,0.203,0.221,-0.054
130,-0.188,0.006,0.031,0.041,0.066,0.163,0.121,-0.146,0.279,-0.08,0.129,0.256,-0.15
131,-0.209,-0.165,-0.095,-0.156,-0.253,0.126,0.067,-0.219,0.182,-0.006,0.135,0.294,-0.135
132,-0.332,0.029,-0.071,-0.192,-0.034,0.136,0.182,-0.116,0.086,-0.05,0.264,0.2,-0.098
133,-0.194,0.072,0.069,0.019,0.013,0.144,0.237,-0.175,0.123,-0.114,0.199,0.295,-0.094
134,-0.23,-0.067,-0.015,-0.11,-0.272,0.07,0.11,-0.112,0.157,-0.109,0.109,0.212,-0.131
135,-0.325,-0.039,-0.105,-0.234,0.025,0.198,0.082,-0.138,0.078,-0.123,0.21,0.199,-0.137
136,-0.132,0.078,-0.042,0.048,-0.152,0.058,0.186,-0.184,0.191,-0.145,0.132,0.165,-0.154
137,-0.247,-0.124,-0.018,-0.135,-0.308,0.137,0.194,-0.226,0.148,-0.097,0.182,0.178,-0.147
138,-0.22,-0.078,-0.094,-0.239,0.05,0.108,0.23,-0.207,0.106,-0.121,0.223,0.116,-0.182
139,-0.264,0.092,-0.061,0.06,-0.179,0.129,0.189,-0.177,0.25,-0.036,0.194,0.196,-0.204
140,-0.384,-0.087,0.013,-0.036,-0.324,0.16,0.138,-0.168,0.209,-0.146,0.169,0.317,-0.118
141,-0.187,-0.092,0.01,-0.204,0.027,0.095,0.132,-0.143,0.191,-0.127,0.212,0.18,-0.148
142,-0.2,0.041,-0.143,0.011,-0.223,0.128,0.112,-0.146,0.192,-0.118,0.162,0.168,-0.1
143,-0.054,-0.038,-0.035,-0.095,-0.323,0.073,0.265,-0.152,0.105,-0.12,0.239,0.173,-0.123
144,0.104,-0.124,0.045,-0.227,-0.002,0.165,0.169,-0.17,0.228,-0.165,0.142,0.11,-0.17
145,0.142,0.014,-0.002,-0.035,-0.309,0.181,0.248,-0.19,0.144,-0.142,0.187,0.15,-0.149
146,0.182,0.044,-0.046,-0.067,-0.256,0.154,0.221,-0.142,-0.031,-0.183,0.128,0.188,-0.077
147,0.287,-0.088,0.051,-0.222,0.032,0.146,0.102,-0.155,-0.039,0.086,0.178,0.18,-0.166
148,0.314,0.006,-0.009,-0.05,-0.279,0.2,0.172,-0.171,-0.13,0.137,0.116,0.169,-0.035
