,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13
455,0.0,0.159,0.218,-0.218,-0.041,-0.024,0.018,0.086,-0.01,0.148,0.0,0.216,-0.42
456,0.0,0.151,0.168,-0.138,0.094,0.018,0.018,0.287,0.022,-0.367,0.0,0.182,-0.407
457,0.0,0.108,0.21,0.046,-0.114,-0.018,0.038,0.118,0.011,0.075,0.0,0.187,-0.065
458,0.0,0.216,0.19,-0.172,0.074,-0.019,0.033,-0.216,0.008,0.331,0.0,0.243,0.391
459,0.0,0.211,0.179,-0.231,-0.297,0.006,0.06,0.124,0.004,0.273,0.0,0.289,0.12
460,0.0,0.221,0.191,0.037,-0.117,0.001,0.025,0.103,0.035,0.051,0.0,0.25,-0.291
461,0.0,0.242,0.26,0.026,0.049,0.01,0.023,-0.28,-0.004,-0.344,0.0,0.248,-0.401
462,0.0,0.184,0.198,-0.2,-0.316,-0.001,0.036,-0.484,-0.014,-0.382,0.0,0.334,-0.179
463,0.0,0.263,0.162,-0.009,-0.014,-0.014,0.011,0.149,-0.002,-0.276,0.0,0.21,0.303
464,0.0,0.161,-0.158,0.061,0.058,-0.028,0.027,0.475,0.007,0.157,0.0,0.161,0.178
465,0.0,0.199,-0.113,-0.232,-0.35,0.019,0.03,0.261,0.023,0.219,0.0,-0.009,-0.145
466,0.0,0.254,-0.061,-0.128,0.035,0.017,0.016,-0.269,0.019,0.112,0.0,0.066,-0.164
467,0.0,0.122,-0.144,0.073,-0.012,0.006,0.025,-0.382,-0.02,-0.153,0.0,-0.15,0.389
468,0.0,0.185,-0.187,-0.288,-0.359,0.018,0.037,-0.217,0.001,-0.163,0.0,-0.003,0.33
469,0.0,0.14,-0.129,-0.154,0.065,-0.033,0.021,0.165,0.0,-0.172,0.0,0.055,0.001
470,0.0,0.24,-0.23,0.009,-0.221,0.036,-0.007,0.095,0.014,-0.157,0.0,-0.085,-0.375
471,0.0,0.173,-0.195,-0.127,-0.369,0.012,0.024,0.01,-0.007,-0.153,0.0,-0.076,-0.3
472,0.0,0.095,-0.162,-0.213,0.048,-0.023,0.028,0.115,-0.012,-0.169,0.0,0.066,-0.002
473,0.0,0.171,-0.207,0.059,-0.308,0.002,0.04,0.047,0.049,-0.143,0.0,-0.019,0.392
474,0.0,0.199,-0.241,-0.005,-0.236,0.021,0.03,0.104,-0.044,-0.122,0.0,0.059,0.1
475,0.0,0.182,-0.234,-0.246,0.093,0.0,0.027,0.089,-0.044,-0.14,0.0,0.006,-0.451
476,0.0,0.204,-0.183,-0.009,-0.298,-0.005,0.021,0.085,-0.03,-0.168,0.0,-0.114,-0.249
477,0.0,0.116,-0.17,0.021,-0.097,0.027,0.003,0.073,-0.003,-0.148,0.0,0.01,0.14
478,0.0,0.227,-0.202,-0.22,0.107,0.036,0.034,0.16,0.019,-0.155,0.0,0.061,0.358
479,0.0,0.113,-0.211,-0.205,-0.343,0.029,0.022,0.134,0.011,-0.144,0.0,-0.096,0.106
480,0.0,0.133,-0.198,0.048,-0.029,0.019,0.032,0.103,0.054,-0.14,0.0,-0.01,-0.356
481,0.0,-0.133,-0.239,-0.25,0.111,0.008,0.011,0.192,0.012,-0.181,0.0,0.067,-0.132
482,0.0,0.094,-0.13,-0.206,-0.293,-0.003,0.006,0.06,0.008,-0.151,0.0,-0.113,0.455
483,0.0,-0.082,-0.15,0.034,0.069,-0.009,0.005,0.177,-0.022,-0.152,0.0,-0.033,0.172
484,0.0,-0.101,-0.235,-0.069,0.018,0.017,0.033,0.051,-0.035,0.075,0.0,0.144,-0.437
485,0.0,0.075,-0.14,-0.262,-0.328,-0.007,0.01,0.117,-0.04,0.135,0.0,-0.064,-0.036
486,0.0,-0.117,-0.22,0.015,0.063,0.009,0.031,0.172,-0.032,0.14,0.0,-0.101,0.369
487,0.0,-0.108,-0.119,0.004,-0.264,0.005,0.043,0.146,-0.025,0.138,0.0,0.087,-0.02
488,0.0,0.142,-0.2,-0.243,-0.315,-0.04,0.013,0.205,-0.057,0.134,0.0,-0.037,-0.418
489,0.0,-0.059,-0.121,-0.122,0.0,-0.014,0.031,0.057,0.01,0.155,0.0,-0.188,-0.077
490,0.0,-0.124,-0.146,0.054,-0.295,0.013,0.02,0.096,0.0,0.142,0.0,-0.006,0.47
491,0.0,0.063,-0.009,-0.194,-0.346,-0.058,0.022,0.152,0.001,0.152,0.0,0.014,0.076
492,0.0,-0.102,0.131,-0.165,0.04,-0.027,0.018,0.088,-0.009,0.145,0.0,-0.049,-0.383
493,0.0,-0.079,0.19,0.076,-0.254,0.015,0.01,0.184,0.019,0.109,0.0,-0.071,-0.154
494,0.0,0.093,0.134,-0.186,-0.251,-0.01,0.013,0.13,0.003,0.131,0.0,-0.162,0.4
495,0.0,-0.088,0.118,-0.189,0.066,-0.014,-0.001,0.16,-0.031,0.09,0.0,-0.186,-0.301
496,0.0,-0.064,0.166,0.029,-0.343,0.047,0.011,0.133,-0.049,0.198,0.0,-0.2,-0.319
497,0.0,0.093,0.186,-0.052,-0.084,0.021,0.009,0.128,-0.068,0.169,0.0,-0.132,0.48
498,0.0,-0.126,0.183,-0.272,0.062,-0.023,0.008,0.077,-0.077,0.181,0.0,-0.165,0.096
499,0.0,-0.054,0.145,0.037,-0.315,0.006,0.024,0.085,-0.025,0.153,0.0,-0.142,-0.497
500,0.0,-0.074,0.2,0.014,-0.023,0.048,-0.003,0.19,-0.025,0.162,0.0,-0.214,-0.062
501,0.0,-0.073,0.176,-0.221,0.067,0.0,-0.01,0.125,-0.026,0.143,0.0,-0.205,0.441
502,0.0,0.075,0.164,-0.092,-0.325,0.0,0.027,0.076,0.014,0.203,0.0,-0.152,-0.148
503,0.0,-0.095,0.148,0.065,-0.041,0.0,0.039,0.077,0.023,0.162,0.0,-0.164,-0.543
504,0.0,-0.047,0.137,-0.262,0.063,0.0,-0.019,0.177,0.028,0.172,0.0,0.034,0.06
505,0.0,0.113,0.144,-0.142,-0.332,0.0,0.05,0.1,0.036,0.206,0.0,-0.074,0.507
506,0.0,-0.169,0.175,0.013,0.031,0.0,0.038,0.148,0.007,0.141,0.0,-0.103,-0.06
507,0.0,-0.024,0.197,-0.185,-0.018,0.0,0.013,0.12,0.026,0.175,0.0,-0.057,-0.458
508,0.0,0.132,0.093,-0.176,-0.373,0.0,0.015,0.177,-0.008,0.155,0.0,-0.178,-0.455
509,0.0,-0.163,0.19,0.008,0.057,0.0,0.036,0.103,0.007,0.178,0.0,-0.141,0.409
510,0.0,0.014,0.218,-0.118,-0.146,0.0,0.032,0.167,-0.024,0.027,0.0,-0.179,0.186
511,0.0,0.073,0.168,-0.213,-0.346,0.0,0.027,0.099,-0.023,-0.102,0.0,-0.162,-0.309
512,0.0,-0.109,0.165,0.061,0.093,0.0,0.024,0.121,-0.043,-0.095,0.0,-0.186,-0.345
513,0.0,-0.007,0.164,-0.04,-0.196,0.0,0.055,0.215,-0.058,-0.076,0.0,-0.204,-0.164
514,0.0,0.084,0.168,-0.251,-0.346,0.0,0.068,0.12,-0.026,-0.198,0.0,-0.108,0.228
515,0.0,-0.068,0.177,-0.047,0.084,0.0,0.027,0.189,-0.005,-0.175,0.0,-0.136,-0.1
516,0.0,-0.014,0.151,0.097,-0.25,0.0,0.041,0.171,0.019,-0.225,0.0,-0.099,-0.095
517,0.0,0.091,0.029,-0.257,-0.277,0.0,0.019,0.137,0.018,-0.255,0.0,-0.095,-0.178
518,0.0,-0.145,-0.084,-0.17,0.049,0.0,0.021,-0.004,0.004,-0.227,0.0,-0.175,-0.142
519,0.0,0.038,0.106,0.052,-0.328,0.0,0.026,-0.014,0.049,-0.16,0.0,-0.115,-0.165
520,0.0,0.042,0.06,-0.153,-0.156,0.0,0.055,-0.121,-0.045,-0.255,0.0,-0.163,-0.109
521,0.0,-0.083,-0.18,-0.212,0.089,0.0,0.013,-0.194,0.019,-0.151,0.0,-0.127,-0.136
522,0.0,0.046,-0.07,0.034,-0.336,0.0,0.03,-0.073,-0.089,-0.173,0.0,-0.21,-0.079
523,0.0,0.048,0.071,-0.082,0.026,0.0,0.014,-0.174,-0.038,-0.114,0.0,-0.17,-0.105
524,0.0,-0.129,-0.023,-0.254,0.077,0.0,0.029,-0.185,-0.059,-0.111,0.0,-0.133,-0.11
525,0.0,0.118,-0.093,0.019,-0.314,0.0,0.037,-0.092,0.132,-0.125,0.0,-0.149,-0.138
526,0.0,-0.004,0.015,0.016,0.012,0.0,0.034,-0.187,0.009,-0.18,0.0,-0.135,-0.158
527,0.0,-0.13,0.025,-0.251,-0.036,0.0,0.046,-0.164,0.011,-0.134,0.0,-0.182,-0.223
528,0.0,0.139,0.04,-0.033,-0.268,0.0,0.014,-0.155,-0.044,-0.185,0.0,-0.122,-0.147
529,0.0,-0.048,-0.03,0.088,0.082,0.0,0.039,-0.186,0.022,-0.1,0.0,-0.113,-0.141
530,0.0,-0.131,0.028,-0.217,-0.159,0.0,-0.009,-0.099,0.011,-0.118,0.0,-0.088,-0.064
531,0.0,0.092,-0.001,-0.122,-0.265,0.0,0.027,-0.141,-0.023,-0.08,0.0,-0.09,-0.061
532,0.0,0.032,-0.121,0.048,0.06,0.0,0.023,-0.109,0.044,-0.166,0.0,-0.219,-0.061
533,0.0,-0.091,-0.04,-0.217,-0.173,0.0,0.047,-0.141,-0.021,-0.213,0.0,-0.153,-0.146
534,0.0,0.09,0.029,-0.198,-0.286,0.0,0.028,-0.207,0.007,-0.168,0.0,-0.188,-0.18
535,0.0,-0.013,-0.012,0.056,0.044,0.0,0.043,-0.078,0.01,-0.144,0.0,-0.109,-0.128
536,0.0,-0.107,-0.064,-0.102,-0.257,0.0,0.013,-0.119,0.012,-0.121,0.0,-0.202,-0.162
537,0.0,0.078,0.05,-0.236,-0.321,0.0,0.043,-0.161,0.012,0.033,0.0,-0.114,-0.105
538,0.0,-0.069,-0.052,0.024,0.12,0.0,0.041,-0.095,-0.042,0.195,0.0,-0.101,0.756
539,0.0,-0.067,-0.096,-0.08,-0.377,0.0,0.04,-0.135,-0.016,0.092,0.0,-0.182,0.683
540,0.0,0.005,0.015,-0.2,-0.056,0.0,0.033,-0.194,0.023,0.119,0.0,-0.089,0.913
541,0.0,-0.063,0.037,0.035,0.101,0.0,0.024,-0.107,-0.006,0.222,0.0,-0.128,0.908
542,0.0,-0.115,-0.12,0.039,-0.278,0.0,0.007,-0.094,0.004,0.196,0.0,-0.128,0.741
543,0.0,0.095,-0.026,-0.233,-0.084,0.0,0.013,-0.113,-0.001,0.146,0.0,-0.163,0.643
544,0.0,-0.095,0.056,-0.057,0.086,0.0,0.044,-0.133,-0.01,0.129,0.0,-0.176,0.314
545,0.0,-0.016,-0.011,0.061,-0.321,0.0,0.018,-0.166,0.001,0.17,0.0,-0.153,0.917
546,0.0,0.06,-0.031,-0.225,-0.028,0.0,0.031,-0.186,0.002,0.147,0.0,-0.159,0.871
547,0.0,-0.101,0.05,-0.147,0.121,0.0,0.046,-0.108,0.002,0.228,0.0,-0.178,0.651
548,0.0,-0.059,-0.013,0.076,-0.304,0.0,0.011,-0.097,-0.003,0.217,0.0,-0.256,0.79
549,0.0,0.127,-0.052,-0.266,0.038,0.0,0.041,-0.063,0.032,0.193,0.0,0.46,0.424
550,0.0,-0.172,-0.031,-0.181,-0.147,0.0,0.043,-0.167,0.009,0.19,0.0,0.617,0.112
551,0.0,-0.007,0.01,0.036,-0.326,0.0,0.004,-0.138,-0.007,0.107,0.0,0.484,-0.016
552,0.0,0.124,0.006,-0.12,0.073,0.0,0.032,-0.149,0.014,0.198,0.0,0.429,0.026
553,0.0,-0.128,-0.102,0.0,-0.227,0.0,0.03,-0.074,0.045,0.176,0.0,0.481,0.004
554,0.0,0.012,-0.032,-0.024,-0.359,0.0,0.033,-0.147,-0.007,0.216,0.0,0.277,-0.009
555,0.0,0.086,0.042,0.013,0.094,0.0,0.034,-0.123,0.025,0.291,0.0,0.445,-0.006
556,0.0,-0.115,-0.018,-0.006,-0.334,0.0,0.051,-0.071,0.003,0.181,0.0,0.419,-0.008
557,0.0,0.008,-0.073,-0.022,-0.193,0.0,-0.002,-0.18,-0.007,0.144,0.0,0.631,-0.078
558,0.0,0.09,-0.056,0.006,0.07,0.0,0.056,-0.088,-0.006,0.129,0.0,0.57,0.012
559,0.0,-0.116,0.079,0.005,-0.328,0.0,0.028,-0.118,0.019,0.178,0.0,0.389,-0.023
560,0.0,0.022,-0.057,-0.019,-0.067,0.0,0.016,-0.157,0.007,0.218,0.0,-0.025,0.028
561,0.0,0.117,-0.039,0.018,0.094,0.0,0.04,-0.136,0.018,0.222,0.0,-0.023,0.018
562,0.0,-0.175,0.087,-0.009,-0.252,0.0,0.032,-0.083,0.017,0.22,0.0,0.04,-0.004
563,0.0,0.044,0.021,0.009,0.007,0.0,0.012,-0.126,0.022,0.211,0.0,0.108,0.016
564,0.0,0.019,-0.111,0.037,-0.012,0.0,0.052,-0.14,-0.002,-0.084,0.0,-0.078,0.014
565,0.0,-0.081,0.048,-0.012,0.029,0.0,0.035,-0.112,0.022,-0.097,0.0,0.011,0.008
566,0.0,0.028,0.041,-0.011,0.007,0.0,0.02,-0.172,-0.009,-0.13,0.0,0.033,-0.003
567,0.0,0.041,-0.038,-0.008,0.002,0.0,0.023,-0.03,-0.015,-0.167,0.0,-0.004,0.003
568,0.0,-0.187,-0.118,0.016,0.012,0.0,0.002,-0.066,0.009,-0.148,0.0,0.014,-0.012
569,0.0,0.046,0.088,0.017,-0.002,0.0,0.054,-0.17,0.003,-0.184,0.0,0.01,0.039
570,0.0,0.01,0.049,-0.023,-0.028,0.0,0.028,-0.181,0.01,-0.066,0.0,0.01,0.006
571,0.0,-0.09,-0.139,0.002,-0.018,0.0,0.034,-0.097,-0.009,-0.13,0.0,-0.084,-0.018
572,0.0,0.127,-0.046,0.003,-0.004,0.0,0.007,-0.082,0.008,-0.097,0.0,0.001,0.016
573,0.0,-0.002,0.096,-0.022,-0.014,0.0,0.029,-0.005,0.016,-0.168,0.0,-0.02,0.018
574,0.0,-0.139,-0.007,0.004,-0.002,0.0,0.021,-0.016,0.0,-0.077,0.0,0.001,0.012
575,0.0,0.094,-0.107,0.006,0.003,0.0,0.026,0.005,-0.004,-0.172,0.0,0.022,0.005
576,0.0,-0.085,-0.065,0.041,0.049,0.0,0.036,0.017,0.02,-0.152,0.0,-0.01,0.001
577,0.0,-0.085,0.032,0.02,-0.001,0.0,0.041,0.025,-0.005,-0.009,0.0,-0.007,-0.024
578,0.0,0.125,-0.059,-0.022,0.007,0.0,-0.01,-0.004,-0.011,-0.076,0.0,0.005,0.015
579,0.0,-0.075,-0.098,0.021,-0.005,0.0,0.051,0.035,-0.006,-0.102,0.0,0.017,-0.015
580,0.0,-0.118,0.055,-0.021,0.007,0.0,0.026,0.017,-0.008,-0.14,0.0,0.021,0.001
581,0.0,0.081,0.007,-0.006,-0.005,0.0,0.04,-0.011,-0.025,-0.157,0.0,0.011,0.021
582,0.0,-0.043,-0.038,0.018,-0.002,0.0,-0.13,-0.031,0.015,-0.082,0.0,0.006,0.006
583,0.0,-0.115,-0.043,-0.002,0.008,0.0,1.1,-0.022,0.023,-0.256,0.0,0.529,-0.008
584,0.0,0.11,0.07,-0.02,-0.009,0.0,-0.206,-0.011,0.003,-0.161,0.0,0.281,-0.002
585,0.0,-0.029,-0.017,-0.001,-0.006,0.0,0.009,-0.014,0.028,-0.14,0.0,0.325,-0.02
586,0.0,-0.097,-0.121,0.0,-0.01,0.0,1.495,-0.043,-0.008,-0.127,0.0,0.418,0.023
587,0.0,0.109,-0.032,0.0,0.041,0.0,-0.129,-0.012,0.018,-0.166,0.0,0.604,0.004
588,0.0,-0.101,0.031,0.0,0.031,0.0,1.355,0.004,0.009,-0.187,0.0,0.396,0.005
589,0.0,-0.075,-0.069,0.0,0.012,0.0,-0.212,-0.025,0.014,-0.193,0.0,0.382,-0.008
590,0.0,0.121,-0.08,0.0,0.023,0.0,0.08,-0.008,0.003,-0.059,0.0,0.378,-0.017
591,0.0,-0.164,0.045,0.0,-0.027,0.0,-0.192,-0.011,0.01,0.055,0.0,0.309,0.017
592,0.0,-0.04,0.049,0.0,0.004,0.0,-0.132,-0.001,0.031,0.071,0.0,0.562,0.019
593,0.0,0.078,-0.125,0.0,-0.025,0.0,-0.147,-0.035,0.008,0.13,0.0,0.557,0.001
594,0.0,-0.122,0.005,0.0,0.015,0.0,-0.188,0.004,-0.009,0.153,0.0,0.334,-0.011
595,0.0,0.039,0.063,0.0,-0.003,0.0,1.506,-0.044,0.013,0.208,0.0,0.278,0.004
596,0.0,0.088,-0.05,0.0,0.024,0.0,-0.192,-0.006,0.016,0.046,0.0,0.438,0.012
597,0.0,-0.129,-0.129,0.0,-0.006,0.0,-0.002,0.024,0.02,-0.002,0.0,0.662,0.006
598,0.0,0.029,-0.026,0.0,0.011,0.0,-0.152,-0.02,0.007,-0.389,0.0,0.416,-0.005
599,0.0,0.103,0.029,0.0,-0.017,0.0,-0.096,0.012,0.015,-0.08,0.0,0.35,-0.002
